"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"1321346","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","AR","Baxter","Baxter County","36.3122","-92.354317","US Census Bureau","Centroid","Upper White","11010000","1996","","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1321313","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","AR","Stone","pond on Eagle Point Rd, near Dogwood Trl","35.91521","-92.09744","reported","Accurate","Middle White","11010004","2016","7","13","unknown","","NAS sighting report","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156085","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","KS","Douglas","commercial fish farm in Douglas County","38.9532","-95.2258","","Approximate","Lower Kansas","10270104","1974","","","established","J. Perry revisited the same locality in 1975 and collected 37 additional specimens.","Literature","","","Freshwater","13188","Book","1993","Collins, J.T.","Amphibians and Reptiles in Kansas. Third Edition, Revised.","The University of Kansas, Museum of Natural History, Lawrence.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","MA","Norfolk","Needham","42.283431","-71.232833","GNIS","Approximate","Charles","01090001","1991","1","","collected","found in a shipment of plants","Literature","Needham Science Center","","Freshwater","704","Book","1993","Cardoza, J.E., G.S. Jones, T.W. French, and D.B. Halliwell.","Exotic and translocated vertebrates of Massachusetts. Fauna of Massachusetts Series No. 6.","Massachusetts Division of Fisheries and Wildlife","Westborough, MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156084","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","MO","Camden","private fish farm in Camden County","38.086511","-92.769807","US Census Bureau","Centroid","Niangua","10290110","1982","","","established","","Literature","","","Freshwater","13337","Book","1987","Johnson, T.R.","The Amphibians and Reptiles of Missouri.","Missouri Department of Conservation, Comservation Commission of the State of Missouri, Jefferson City.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616588","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Alamance","[No locality description provided]","36.04414","-79.3071","reported","Accurate","Haw","03030002","2018","10","2","established","<a href = https://www.inaturalist.org/observations/17130704 target = _blank >iNaturalist observation ID 17130704</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616659","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Alamance","[No locality description provided]","36.08323","-79.48464","reported","Accurate","Haw","03030002","2019","5","1","established","<a href = https://www.inaturalist.org/observations/24338405 target = _blank >iNaturalist observation ID 24338405</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616604","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.362","-80.61674","reported","Accurate","Rocky","03040105","2018","10","19","established","<a href = https://www.inaturalist.org/observations/18418265 target = _blank >iNaturalist observation ID 18418265</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613872","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.46248","-80.49223","reported","Accurate","Rocky","03040105","2015","5","27","established","<a href = https://www.inaturalist.org/observations/2417090 target = _blank >iNaturalist observation ID 2417090</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613880","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.30901","-80.58763","reported","Accurate","Rocky","03040105","2016","9","26","established","<a href = https://www.inaturalist.org/observations/4206996 target = _blank >iNaturalist observation ID 4206996</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616460","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.30739","-80.61057","reported","Accurate","Rocky","03040105","2017","6","14","established","<a href = https://www.inaturalist.org/observations/6663678 target = _blank >iNaturalist observation ID 6663678</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616482","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.40724","-80.57626","reported","Accurate","Rocky","03040105","2017","9","19","established","<a href = https://www.inaturalist.org/observations/8018450 target = _blank >iNaturalist observation ID 8018450</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616485","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.23832","-80.51568","reported","Accurate","Rocky","03040105","2017","7","10","established","<a href = https://www.inaturalist.org/observations/8268338 target = _blank >iNaturalist observation ID 8268338</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616501","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.36183","-80.62617","reported","Accurate","Rocky","03040105","2014","5","15","established","<a href = https://www.inaturalist.org/observations/9921837 target = _blank >iNaturalist observation ID 9921837</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616503","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.3619","-80.61646","reported","Accurate","Rocky","03040105","2016","4","1","established","<a href = https://www.inaturalist.org/observations/9937008 target = _blank >iNaturalist observation ID 9937008</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616505","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.46148","-80.49503","reported","Accurate","Rocky","03040105","2015","8","14","established","<a href = https://www.inaturalist.org/observations/10008011 target = _blank >iNaturalist observation ID 10008011</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616506","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Cabarrus","[No locality description provided]","35.4611","-80.49545","reported","Accurate","Rocky","03040105","2016","5","2","established","<a href = https://www.inaturalist.org/observations/10009330 target = _blank >iNaturalist observation ID 10009330</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613883","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Chatham","[No locality description provided]","35.80133","-79.07854","reported","Accurate","Haw","03030002","2012","5","24","established","<a href = https://www.inaturalist.org/observations/4602550 target = _blank >iNaturalist observation ID 4602550</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616558","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Chatham","[No locality description provided]","35.80046","-79.23232","reported","Accurate","Haw","03030002","2018","8","1","established","<a href = https://www.inaturalist.org/observations/15033169 target = _blank >iNaturalist observation ID 15033169</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616661","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Chatham","[No locality description provided]","35.85168","-79.08004","reported","Accurate","Haw","03030002","2019","5","6","established","<a href = https://www.inaturalist.org/observations/24672752 target = _blank >iNaturalist observation ID 24672752</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616642","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Chatham","[No locality description provided]","35.79906","-79.05283","reported","Accurate","Haw","03030002","2019","4","26","established","<a href = https://www.inaturalist.org/observations/23133691 target = _blank >iNaturalist observation ID 23133691</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1419142","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Davidson","Four Mile Branch- on a residential front porch","35.70613","-80.15336","reported","Accurate","Lower Yadkin","03040103","2017","10","12","unknown","Two observed this year and one individual was observed last October (2016).","NAS sighting report","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613873","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.9182","-78.97954","reported","Accurate","Haw","03030002","2016","4","23","established","<a href = https://www.inaturalist.org/observations/3020905 target = _blank >iNaturalist observation ID 3020905</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613865","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.92862","-78.96614","reported","Accurate","Haw","03030002","2013","6","27","established","<a href = https://www.inaturalist.org/observations/313904 target = _blank >iNaturalist observation ID 313904</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616536","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96889","-78.96389","reported","Accurate","Haw","03030002","2018","6","6","established","<a href = https://www.inaturalist.org/observations/13181813 target = _blank >iNaturalist observation ID 13181813</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616539","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","6","11","established","<a href = https://www.inaturalist.org/observations/13338247 target = _blank >iNaturalist observation ID 13338247</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616577","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96944","-78.96361","reported","Accurate","Haw","03030002","2018","9","12","established","<a href = https://www.inaturalist.org/observations/16477295 target = _blank >iNaturalist observation ID 16477295</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616579","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","9","14","established","<a href = https://www.inaturalist.org/observations/16530663 target = _blank >iNaturalist observation ID 16530663</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616583","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96889","-78.96389","reported","Accurate","Haw","03030002","2018","9","17","established","<a href = https://www.inaturalist.org/observations/16653455 target = _blank >iNaturalist observation ID 16653455</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616584","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.94079","-78.98776","reported","Accurate","Haw","03030002","2018","9","15","established","<a href = https://www.inaturalist.org/observations/16668508 target = _blank >iNaturalist observation ID 16668508</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613879","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.92049","-78.93134","reported","Accurate","Haw","03030002","2016","7","7","established","<a href = https://www.inaturalist.org/observations/4062684 target = _blank >iNaturalist observation ID 4062684</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613882","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.90462","-78.93603","reported","Accurate","Haw","03030002","2016","10","16","established","<a href = https://www.inaturalist.org/observations/4372147 target = _blank >iNaturalist observation ID 4372147</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616527","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96944","-78.96806","reported","Accurate","Haw","03030002","2018","5","21","established","<a href = https://www.inaturalist.org/observations/12681677 target = _blank >iNaturalist observation ID 12681677</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616478","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96926","-78.96405","reported","Accurate","Haw","03030002","2017","8","31","established","<a href = https://www.inaturalist.org/observations/7734699 target = _blank >iNaturalist observation ID 7734699</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616472","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96923","-78.96397","reported","Accurate","Haw","03030002","2017","8","9","established","<a href = https://www.inaturalist.org/observations/7430973 target = _blank >iNaturalist observation ID 7430973</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616544","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","7","1","established","<a href = https://www.inaturalist.org/observations/13974034 target = _blank >iNaturalist observation ID 13974034</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616623","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.88494","-78.90974","reported","Accurate","Haw","03030002","2016","8","6","established","<a href = https://www.inaturalist.org/observations/20859955 target = _blank >iNaturalist observation ID 20859955</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616592","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","10","4","established","<a href = https://www.inaturalist.org/observations/17207577 target = _blank >iNaturalist observation ID 17207577</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616594","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.88147","-78.9171","reported","Accurate","Haw","03030002","2018","10","9","established","<a href = https://www.inaturalist.org/observations/17363947 target = _blank >iNaturalist observation ID 17363947</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616566","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96861","-78.96416","reported","Accurate","Haw","03030002","2018","8","19","established","<a href = https://www.inaturalist.org/observations/15713997 target = _blank >iNaturalist observation ID 15713997</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616574","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Durham","[No locality description provided]","35.96917","-78.96389","reported","Accurate","Haw","03030002","2018","9","9","established","<a href = https://www.inaturalist.org/observations/16377819 target = _blank >iNaturalist observation ID 16377819</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1616562","53","Amphibians-Frogs","Hylidae","Hyla cinerea","Green Treefrog","United States of America","NC","Forsyth","[No locality description provided]","36.08522","-80.1231","reported","Accurate","Upper Yadkin","03040101","2018","5","27","established","<a href = https://www.inaturalist.org/observations/15196092 target = _blank >iNaturalist observation ID 15196092</a>","Literature","","","Freshwater","25944","Database","2019","Ueda, K., J. Belmonte, A. Shepard, P. Leary, and S. Loarie.","iNaturalist.org","California Academy of Sciences","San Francisco, CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
